index,age_bin,gender,race
678,10-19,Male,Middle Eastern
680,10-19,Male,Indian
684,10-19,Male,Black
697,3-9,Female,Black
704,3-9,Female,Middle Eastern
720,10-19,Male,East Asian
724,more than 70,Male,Latino_Hispanic
725,10-19,Female,East Asian
736,3-9,Male,White
738,10-19,Female,White
742,10-19,Male,White
749,10-19,Female,White
755,10-19,Male,Black
757,3-9,Male,Middle Eastern
764,3-9,Male,East Asian
768,3-9,Female,Indian
775,3-9,Male,White
777,10-19,Female,Black
782,3-9,Female,East Asian
784,10-19,Female,East Asian
787,10-19,Male,White
794,0-2,Male,White
795,3-9,Male,Black
797,3-9,Female,Middle Eastern
799,3-9,Female,White
800,10-19,Female,Latino_Hispanic
802,10-19,Female,Southeast Asian
808,3-9,Female,East Asian
816,3-9,Male,Black
824,10-19,Female,Indian
825,3-9,Female,Black
826,3-9,Female,Indian
829,3-9,Male,Black
830,10-19,Male,White
833,3-9,Male,East Asian
834,3-9,Male,White
836,0-2,Male,East Asian
842,3-9,Male,East Asian
850,3-9,Female,East Asian
855,3-9,Female,White
856,3-9,Male,East Asian
857,10-19,Male,Black
861,3-9,Male,Latino_Hispanic
869,10-19,Female,Black
874,3-9,Male,White
881,3-9,Female,White
882,3-9,Male,Indian
885,3-9,Female,Latino_Hispanic
888,3-9,Male,Black
896,0-2,Female,East Asian
902,10-19,Male,Middle Eastern
905,10-19,Male,Southeast Asian
907,10-19,Female,Indian
914,10-19,Male,Southeast Asian
915,10-19,Male,Latino_Hispanic
924,10-19,Male,Latino_Hispanic
928,10-19,Female,Black
929,3-9,Female,Black
930,3-9,Male,Black
935,3-9,Female,Southeast Asian
939,10-19,Female,Indian
949,10-19,Female,Middle Eastern
951,10-19,Female,White
959,10-19,Female,East Asian
969,10-19,Male,East Asian
989,10-19,Female,Middle Eastern
990,3-9,Male,Middle Eastern
991,3-9,Female,Southeast Asian
996,10-19,Female,Indian
998,3-9,Male,White
1005,3-9,Female,Black
1006,10-19,Male,Indian
1008,10-19,Male,East Asian
1013,3-9,Female,East Asian
1016,3-9,Male,White
1017,0-2,Male,East Asian
1018,10-19,Female,Black
1025,10-19,Female,Latino_Hispanic
1035,0-2,Male,Latino_Hispanic
1040,10-19,Female,Middle Eastern
1041,3-9,Male,Indian
1044,3-9,Female,Southeast Asian
1045,10-19,Female,Black
1055,3-9,Female,White
1061,10-19,Female,Latino_Hispanic
1077,3-9,Female,Middle Eastern
1078,3-9,Male,Southeast Asian
1080,3-9,Male,White
1083,3-9,Female,White
1094,10-19,Female,Indian
1095,3-9,Male,Southeast Asian
1106,3-9,Male,Southeast Asian
1107,3-9,Female,Southeast Asian
1113,3-9,Female,White
1115,10-19,Male,East Asian
1119,3-9,Male,Latino_Hispanic
1120,3-9,Male,East Asian
1124,10-19,Female,Black
1128,3-9,Male,Black
1131,0-2,Female,Southeast Asian
1134,10-19,Male,White
1135,10-19,Male,East Asian
1136,3-9,Male,Southeast Asian
1146,more than 70,Female,East Asian
1150,3-9,Male,White
1152,3-9,Female,White
1161,3-9,Male,Southeast Asian
1166,10-19,Female,White
1170,10-19,Female,White
1171,10-19,Male,White
1172,3-9,Female,White
1176,10-19,Male,Middle Eastern
1178,10-19,Female,Black
1184,3-9,Male,Black
1189,10-19,Female,Black
1190,10-19,Female,East Asian
1199,0-2,Male,Southeast Asian
1207,10-19,Male,Southeast Asian
1218,3-9,Male,Southeast Asian
1231,3-9,Female,Southeast Asian
1234,3-9,Male,East Asian
1236,3-9,Male,Southeast Asian
1238,3-9,Male,Black
1240,3-9,Female,Black
1247,10-19,Female,White
1250,3-9,Male,Indian
1260,10-19,Male,Southeast Asian
1261,3-9,Female,Southeast Asian
1264,0-2,Female,East Asian
1267,10-19,Female,Black
1270,3-9,Male,East Asian
1274,3-9,Female,White
1275,10-19,Female,East Asian
1288,3-9,Female,White
1293,3-9,Male,Black
1299,3-9,Male,Latino_Hispanic
1302,10-19,Female,Middle Eastern
1303,10-19,Female,East Asian
1307,3-9,Male,East Asian
1309,0-2,Male,White
1313,10-19,Male,Indian
1318,10-19,Female,East Asian
1323,3-9,Female,Black
1325,3-9,Male,White
1336,10-19,Male,East Asian
1339,3-9,Female,Indian
1340,10-19,Male,Black
1347,3-9,Male,Latino_Hispanic
1348,10-19,Male,Latino_Hispanic
1349,3-9,Male,Latino_Hispanic
1352,3-9,Female,Middle Eastern
1354,3-9,Female,White
1356,3-9,Male,Black
1361,0-2,Male,White
1363,3-9,Male,Black
1366,3-9,Male,Black
1373,3-9,Female,Middle Eastern
1380,3-9,Male,Indian
1386,3-9,Male,Black
1387,3-9,Female,Latino_Hispanic
1390,3-9,Female,Latino_Hispanic
1395,10-19,Female,Indian
1397,3-9,Female,Latino_Hispanic
1400,3-9,Female,Black
1407,3-9,Female,Indian
1409,3-9,Male,Indian
1414,3-9,Female,East Asian
1416,10-19,Female,Latino_Hispanic
1422,10-19,Female,Black
1429,10-19,Male,Latino_Hispanic
1432,10-19,Female,Black
1433,10-19,Male,Black
1436,3-9,Male,Indian
1437,10-19,Male,Black
1440,3-9,Female,East Asian
1450,10-19,Male,White
1451,10-19,Male,Latino_Hispanic
1454,10-19,Female,Black
1455,10-19,Female,Latino_Hispanic
1465,more than 70,Female,Black
1471,10-19,Male,Southeast Asian
1474,3-9,Male,Black
1480,10-19,Male,Latino_Hispanic
1481,10-19,Male,Southeast Asian
1490,3-9,Female,White
1496,3-9,Male,Latino_Hispanic
1503,10-19,Female,Latino_Hispanic
1517,10-19,Female,Black
1523,10-19,Male,Latino_Hispanic
1525,10-19,Female,Black
1529,10-19,Male,Black
1532,3-9,Male,East Asian
1536,3-9,Female,Southeast Asian
1538,3-9,Male,Southeast Asian
1541,3-9,Male,White
1543,10-19,Male,Black
1547,3-9,Male,Latino_Hispanic
1554,3-9,Female,Indian
1555,10-19,Male,Black
1557,10-19,Female,Latino_Hispanic
1564,3-9,Female,Southeast Asian
1566,3-9,Male,East Asian
1567,10-19,Female,Black
1573,10-19,Female,White
1574,10-19,Male,Southeast Asian
1586,10-19,Male,Black
1587,3-9,Male,Middle Eastern
1589,10-19,Female,Middle Eastern
1590,more than 70,Female,Indian
1596,10-19,Male,Latino_Hispanic
1598,10-19,Female,Latino_Hispanic
1607,10-19,Male,Latino_Hispanic
1609,3-9,Female,Black
1622,10-19,Female,Indian
1628,10-19,Male,Latino_Hispanic
1633,3-9,Male,Black
1636,3-9,Male,Indian
1638,10-19,Male,White
1643,10-19,Female,East Asian
1644,3-9,Male,East Asian
1647,10-19,Male,Latino_Hispanic
1648,10-19,Male,East Asian
1649,3-9,Female,East Asian
1650,10-19,Female,Black
1660,10-19,Male,Latino_Hispanic
1667,3-9,Male,White
1669,3-9,Male,Indian
1675,10-19,Male,White
1677,10-19,Male,Indian
1679,10-19,Female,White
1683,10-19,Male,East Asian
1684,3-9,Male,Southeast Asian
1685,3-9,Male,Southeast Asian
1686,0-2,Male,East Asian
1689,10-19,Female,Latino_Hispanic
1691,10-19,Male,White
1702,10-19,Female,Southeast Asian
1703,3-9,Female,East Asian
1705,3-9,Female,White
1707,3-9,Female,Black
1715,10-19,Female,Latino_Hispanic
1719,3-9,Female,Southeast Asian
1725,10-19,Female,White
1727,0-2,Male,Black
1728,10-19,Female,Latino_Hispanic
1731,10-19,Male,Middle Eastern
1732,3-9,Female,East Asian
1735,10-19,Female,Latino_Hispanic
1742,3-9,Male,Indian
1749,more than 70,Male,East Asian
1752,3-9,Male,Southeast Asian
1759,10-19,Male,Southeast Asian
1760,3-9,Female,White
1761,3-9,Male,Southeast Asian
1766,3-9,Male,Black
1768,10-19,Male,East Asian
1772,3-9,Female,Black
1773,3-9,Female,East Asian
1781,3-9,Male,Indian
1785,10-19,Male,Black
1791,3-9,Male,Black
1792,10-19,Female,Latino_Hispanic
1793,3-9,Female,Indian
1796,10-19,Female,Southeast Asian
1797,3-9,Male,East Asian
1805,10-19,Female,Southeast Asian
1808,10-19,Male,White
1815,3-9,Male,East Asian
1818,10-19,Female,Black
1826,3-9,Male,White
1827,3-9,Male,White
1830,10-19,Female,Black
1832,10-19,Male,White
1834,3-9,Male,Black
1835,3-9,Female,Latino_Hispanic
1841,3-9,Male,Southeast Asian
1845,3-9,Female,East Asian
1848,3-9,Female,East Asian
1849,10-19,Female,East Asian
1856,10-19,Female,White
1864,10-19,Male,Black
1866,more than 70,Male,White
1867,10-19,Male,East Asian
1870,0-2,Male,Southeast Asian
1874,10-19,Female,Latino_Hispanic
1876,10-19,Female,White
1877,10-19,Female,Black
1881,10-19,Female,White
1885,10-19,Female,Latino_Hispanic
1886,3-9,Male,Black
1889,3-9,Female,Southeast Asian
1895,3-9,Male,East Asian
1896,3-9,Female,White
1897,10-19,Female,Black
1900,10-19,Female,Southeast Asian
1901,3-9,Male,East Asian
1902,more than 70,Male,White
1906,3-9,Female,Latino_Hispanic
1908,3-9,Female,Indian
1909,10-19,Female,Southeast Asian
1912,10-19,Male,East Asian
1913,10-19,Male,White
1914,10-19,Female,Middle Eastern
1915,0-2,Male,Black
1918,10-19,Male,Latino_Hispanic
1920,10-19,Male,Latino_Hispanic
1925,3-9,Female,White
1941,10-19,Female,White
1945,3-9,Female,Southeast Asian
1951,3-9,Male,Southeast Asian
1960,10-19,Female,East Asian
1961,3-9,Male,Black
1962,10-19,Male,Southeast Asian
1969,3-9,Female,White
1971,3-9,Female,Latino_Hispanic
1979,10-19,Male,Southeast Asian
1980,3-9,Female,White
1985,0-2,Female,White
1988,more than 70,Female,Black
1990,10-19,Female,Black
1992,3-9,Male,Middle Eastern
2000,10-19,Male,Indian
2001,more than 70,Male,Middle Eastern
2002,10-19,Male,White
2010,3-9,Female,Indian
2013,10-19,Female,Middle Eastern
2014,3-9,Male,Latino_Hispanic
2022,0-2,Female,Middle Eastern
2026,0-2,Male,Black
2028,3-9,Male,Black
2029,3-9,Male,Indian
2033,3-9,Male,Southeast Asian
2039,3-9,Male,White
2042,3-9,Female,White
2043,3-9,Male,Southeast Asian
2046,10-19,Male,Southeast Asian
2050,10-19,Male,White
2053,10-19,Female,East Asian
2056,10-19,Male,Middle Eastern
2059,0-2,Male,Black
2075,3-9,Male,Southeast Asian
2078,10-19,Female,East Asian
2080,3-9,Male,Southeast Asian
2088,10-19,Male,East Asian
2092,10-19,Female,Black
2093,3-9,Female,Middle Eastern
2096,3-9,Female,East Asian
2097,10-19,Male,Latino_Hispanic
2103,0-2,Female,White
2105,3-9,Female,Indian
2112,3-9,Female,East Asian
2113,3-9,Male,White
2120,3-9,Male,Black
2121,3-9,Female,White
2123,10-19,Female,White
2126,10-19,Male,Southeast Asian
2129,10-19,Male,Black
2130,10-19,Male,White
2132,3-9,Male,East Asian
2137,10-19,Male,Latino_Hispanic
2139,10-19,Female,Latino_Hispanic
2143,3-9,Female,Southeast Asian
2145,0-2,Male,White
2146,0-2,Male,Indian
2147,10-19,Female,Latino_Hispanic
2148,more than 70,Female,Indian
2149,10-19,Male,Latino_Hispanic
2151,10-19,Female,Indian
2152,10-19,Male,East Asian
2155,3-9,Male,Black
2158,3-9,Male,Southeast Asian
2159,10-19,Male,East Asian
2168,10-19,Male,Middle Eastern
2174,3-9,Female,East Asian
2178,3-9,Female,East Asian
2187,10-19,Female,Indian
2188,3-9,Male,Latino_Hispanic
2191,3-9,Female,Black
2193,3-9,Male,East Asian
2194,3-9,Male,Southeast Asian
2200,3-9,Male,Latino_Hispanic
2201,3-9,Male,Indian
2203,10-19,Male,Latino_Hispanic
2208,3-9,Male,East Asian
2209,10-19,Female,East Asian
2211,3-9,Female,Black
2215,10-19,Female,Latino_Hispanic
2218,3-9,Male,Latino_Hispanic
2222,3-9,Female,Southeast Asian
2235,10-19,Female,Indian
2246,10-19,Female,Black
2248,3-9,Male,East Asian
2250,10-19,Male,Black
2251,3-9,Female,Southeast Asian
2254,3-9,Male,Middle Eastern
2265,3-9,Male,White
2268,3-9,Female,Southeast Asian
2271,0-2,Male,East Asian
2273,10-19,Male,Black
2277,10-19,Female,East Asian
2281,0-2,Male,Southeast Asian
2283,10-19,Female,White
2290,3-9,Male,Black
2292,3-9,Female,Black
2293,3-9,Male,Middle Eastern
2304,0-2,Male,East Asian
2309,10-19,Female,White
2310,0-2,Female,White
2314,10-19,Male,Southeast Asian
2318,3-9,Female,East Asian
2324,3-9,Female,Indian
2334,0-2,Female,White
2346,10-19,Female,Black
2347,3-9,Female,White
2349,3-9,Female,Black
2351,3-9,Male,Middle Eastern
2352,3-9,Male,Middle Eastern
2353,10-19,Male,Indian
2354,3-9,Male,Middle Eastern
2356,3-9,Female,Southeast Asian
2359,3-9,Male,East Asian
2360,more than 70,Male,Middle Eastern
2361,10-19,Female,Southeast Asian
2365,10-19,Male,Middle Eastern
2367,10-19,Male,Middle Eastern
2368,10-19,Male,Southeast Asian
2371,10-19,Male,Latino_Hispanic
2372,10-19,Female,Southeast Asian
2374,3-9,Male,Southeast Asian
2378,0-2,Female,Latino_Hispanic
2381,10-19,Male,East Asian
2384,3-9,Male,Black
2389,0-2,Female,Latino_Hispanic
2391,3-9,Female,Southeast Asian
2402,10-19,Female,Indian
2404,3-9,Female,Black
2410,10-19,Female,Latino_Hispanic
2417,10-19,Female,Indian
2421,3-9,Female,Middle Eastern
2423,3-9,Male,Black
2424,10-19,Female,East Asian
2436,3-9,Male,Southeast Asian
2438,3-9,Female,Southeast Asian
2440,3-9,Female,East Asian
2444,3-9,Female,Latino_Hispanic
2445,3-9,Male,East Asian
2446,3-9,Male,Southeast Asian
2447,0-2,Female,Southeast Asian
2448,0-2,Male,Southeast Asian
2460,10-19,Male,White
2465,10-19,Female,Latino_Hispanic
2466,10-19,Male,Southeast Asian
2467,10-19,Female,East Asian
2469,3-9,Male,Indian
2471,10-19,Female,White
2473,10-19,Female,Latino_Hispanic
2481,3-9,Male,East Asian
2489,10-19,Male,Indian
2493,10-19,Male,Indian
2495,10-19,Male,Black
2498,more than 70,Female,Black
2500,10-19,Female,Latino_Hispanic
2504,3-9,Male,East Asian
2505,10-19,Male,Southeast Asian
2509,3-9,Male,Southeast Asian
2512,3-9,Male,Southeast Asian
2522,3-9,Female,East Asian
2529,10-19,Male,Southeast Asian
2534,3-9,Male,Indian
2537,10-19,Female,Latino_Hispanic
2538,3-9,Male,Southeast Asian
2540,10-19,Female,White
2541,10-19,Female,Black
2550,10-19,Male,White
2556,10-19,Female,Indian
2559,3-9,Male,Latino_Hispanic
2566,10-19,Male,White
2568,3-9,Female,Middle Eastern
2575,10-19,Female,Black
2579,10-19,Female,Black
2582,10-19,Female,Middle Eastern
2586,10-19,Male,Indian
2587,more than 70,Male,Southeast Asian
2589,3-9,Female,White
2595,3-9,Female,Indian
2602,3-9,Female,Middle Eastern
2606,more than 70,Male,Southeast Asian
2611,3-9,Male,Black
2612,10-19,Male,Indian
2614,3-9,Male,East Asian
2618,3-9,Male,Indian
2638,3-9,Female,East Asian
2641,3-9,Female,Indian
2644,10-19,Female,Indian
2649,3-9,Female,East Asian
2670,3-9,Female,East Asian
2674,10-19,Male,Indian
2676,3-9,Male,Southeast Asian
2677,10-19,Female,Black
2680,3-9,Male,Black
2684,3-9,Female,Southeast Asian
2690,3-9,Male,Indian
2691,10-19,Male,Southeast Asian
2700,0-2,Male,Southeast Asian
2707,3-9,Male,Black
2714,10-19,Male,Latino_Hispanic
2725,10-19,Male,Indian
2735,3-9,Female,Black
2737,3-9,Male,Indian
2738,3-9,Female,White
2740,more than 70,Male,Black
2741,10-19,Male,East Asian
2751,3-9,Female,Black
2755,10-19,Female,Latino_Hispanic
2756,3-9,Female,Indian
2762,10-19,Female,Latino_Hispanic
2763,0-2,Female,Latino_Hispanic
2774,3-9,Male,East Asian
2779,3-9,Female,Middle Eastern
2782,more than 70,Female,Black
2783,3-9,Female,East Asian
2784,10-19,Male,Indian
2788,0-2,Female,Black
2792,3-9,Male,East Asian
2795,10-19,Male,Southeast Asian
2803,10-19,Male,Southeast Asian
2807,0-2,Male,White
2814,10-19,Male,East Asian
2818,10-19,Male,Middle Eastern
2819,10-19,Female,White
2821,10-19,Male,Latino_Hispanic
2823,3-9,Male,Black
2827,10-19,Female,Latino_Hispanic
2833,3-9,Male,Southeast Asian
2839,10-19,Female,Black
2842,0-2,Male,Middle Eastern
2843,3-9,Male,Middle Eastern
2845,10-19,Female,Black
2846,10-19,Male,Middle Eastern
2847,3-9,Male,East Asian
2848,3-9,Male,Black
2849,10-19,Male,Southeast Asian
2851,0-2,Male,White
2852,10-19,Female,Latino_Hispanic
2853,3-9,Female,Black
2854,10-19,Female,Black
2855,3-9,Male,Middle Eastern
2858,10-19,Male,Indian
2860,3-9,Male,Black
2861,0-2,Female,White
2866,3-9,Female,Southeast Asian
2873,3-9,Female,Indian
2875,10-19,Female,East Asian
2877,3-9,Female,Southeast Asian
2879,10-19,Female,Southeast Asian
2881,3-9,Male,Indian
2882,3-9,Female,Latino_Hispanic
2885,10-19,Female,White
2893,10-19,Male,White
2895,3-9,Male,Latino_Hispanic
2896,10-19,Female,Black
2900,3-9,Male,Black
2903,3-9,Female,Southeast Asian
2918,10-19,Female,White
2923,3-9,Male,Latino_Hispanic
2928,10-19,Male,Middle Eastern
2932,10-19,Female,Indian
2935,10-19,Female,Latino_Hispanic
2939,3-9,Female,Southeast Asian
2940,3-9,Male,Black
2946,3-9,Female,Black
2950,3-9,Female,Latino_Hispanic
2951,3-9,Female,Latino_Hispanic
2952,3-9,Male,White
2954,10-19,Female,Black
2962,3-9,Female,Latino_Hispanic
2967,3-9,Male,Black
2969,3-9,Male,Southeast Asian
2972,3-9,Female,Southeast Asian
2978,10-19,Female,Latino_Hispanic
2979,3-9,Male,White
2984,10-19,Male,White
2986,3-9,Female,Indian
2989,3-9,Female,White
2992,10-19,Male,Black
2997,10-19,Female,Southeast Asian
2998,3-9,Male,Southeast Asian
2999,10-19,Female,Southeast Asian
3003,10-19,Male,East Asian
3009,10-19,Female,Black
3020,10-19,Male,Southeast Asian
3025,10-19,Female,East Asian
3029,3-9,Male,Latino_Hispanic
3036,0-2,Female,East Asian
3039,3-9,Male,White
3040,10-19,Male,Southeast Asian
3047,3-9,Male,Southeast Asian
3050,3-9,Male,White
3052,3-9,Female,Southeast Asian
3053,10-19,Female,Latino_Hispanic
3056,3-9,Male,East Asian
3064,more than 70,Male,Indian
3066,10-19,Male,White
3067,10-19,Female,Indian
3071,10-19,Male,Latino_Hispanic
3074,3-9,Male,East Asian
3075,3-9,Male,Southeast Asian
3078,3-9,Female,Southeast Asian
3084,3-9,Female,Latino_Hispanic
3085,3-9,Male,White
3088,10-19,Male,Black
3097,3-9,Male,Indian
3099,10-19,Male,East Asian
3100,10-19,Female,Middle Eastern
3101,3-9,Male,East Asian
3108,3-9,Female,Latino_Hispanic
3110,10-19,Female,Latino_Hispanic
3114,10-19,Male,Black
3115,10-19,Female,White
3116,more than 70,Male,Indian
3118,10-19,Female,Southeast Asian
3119,3-9,Female,Indian
3120,10-19,Female,Latino_Hispanic
3123,3-9,Male,Southeast Asian
3145,3-9,Female,Indian
3148,more than 70,Male,Indian
3151,3-9,Female,Southeast Asian
3153,3-9,Male,East Asian
3155,3-9,Male,Latino_Hispanic
3157,3-9,Female,Black
3158,3-9,Male,East Asian
3184,3-9,Female,Latino_Hispanic
3187,3-9,Male,White
3191,3-9,Male,White
3194,10-19,Male,Latino_Hispanic
3200,3-9,Male,Southeast Asian
3204,10-19,Male,Southeast Asian
3205,3-9,Male,White
3206,10-19,Male,White
3208,10-19,Male,Southeast Asian
3209,3-9,Male,Latino_Hispanic
3216,3-9,Female,Southeast Asian
3232,10-19,Male,White
3237,10-19,Male,Indian
3243,10-19,Female,Southeast Asian
3248,3-9,Male,East Asian
3253,10-19,Female,Middle Eastern
3259,10-19,Female,Black
3262,more than 70,Female,White
3270,10-19,Male,White
3274,10-19,Male,East Asian
3278,10-19,Male,Black
3279,0-2,Male,White
3280,3-9,Female,Indian
3282,10-19,Male,Indian
3285,10-19,Female,Latino_Hispanic
3286,3-9,Male,Southeast Asian
3290,10-19,Female,Latino_Hispanic
3292,3-9,Male,East Asian
3294,3-9,Male,East Asian
3295,0-2,Male,Middle Eastern
3298,3-9,Male,East Asian
3299,3-9,Female,White
3300,3-9,Male,East Asian
3302,3-9,Female,Latino_Hispanic
3312,0-2,Female,Black
3316,10-19,Female,Indian
3320,0-2,Male,East Asian
3321,10-19,Female,East Asian
3323,3-9,Female,Southeast Asian
3324,3-9,Female,Indian
3325,10-19,Male,Latino_Hispanic
3327,3-9,Female,Southeast Asian
3333,10-19,Female,Middle Eastern
3337,10-19,Female,Indian
3340,3-9,Male,Black
3346,10-19,Female,Black
3351,10-19,Female,White
3352,3-9,Male,Black
3359,10-19,Female,Black
3360,10-19,Male,Indian
3362,3-9,Female,Black
3366,10-19,Male,Southeast Asian
3370,3-9,Male,Black
3375,10-19,Female,East Asian
3378,3-9,Male,Latino_Hispanic
3381,3-9,Female,Southeast Asian
3392,0-2,Female,White
3393,10-19,Female,Black
3394,3-9,Male,Black
3395,3-9,Male,Latino_Hispanic
3396,3-9,Female,Southeast Asian
3404,more than 70,Female,Black
3410,10-19,Male,East Asian
3414,3-9,Male,Southeast Asian
3420,10-19,Male,Indian
3422,10-19,Female,Middle Eastern
3427,3-9,Female,Southeast Asian
3430,0-2,Female,East Asian
3440,3-9,Female,Latino_Hispanic
3443,0-2,Female,East Asian
3444,3-9,Female,White
3445,10-19,Female,Indian
3457,3-9,Female,Indian
3468,10-19,Female,White
3470,3-9,Male,Indian
3471,3-9,Female,Latino_Hispanic
3472,10-19,Female,White
3473,10-19,Female,Southeast Asian
3474,10-19,Male,White
3475,3-9,Female,East Asian
3476,10-19,Female,Indian
3478,3-9,Male,Southeast Asian
3492,3-9,Female,East Asian
3493,0-2,Male,Indian
3494,3-9,Female,Middle Eastern
3496,3-9,Female,Latino_Hispanic
3499,3-9,Male,Southeast Asian
3501,3-9,Male,Latino_Hispanic
