index,true_age_bin,true_gender,true_race,deepface_age,deepface_gender,gender_confidence
116,3-9,Male,Indian,35,Man,"{'Woman': np.float32(2.494781), 'Man': np.float32(97.50522)}"
123,3-9,Male,Indian,24,Man,"{'Woman': np.float32(32.813633), 'Man': np.float32(67.18637)}"
124,3-9,Female,Black,39,Man,"{'Woman': np.float32(8.551899), 'Man': np.float32(91.4481)}"
130,10-19,Female,Southeast Asian,31,Man,"{'Woman': np.float32(14.320108), 'Man': np.float32(85.679886)}"
139,3-9,Male,Southeast Asian,27,Man,"{'Woman': np.float32(0.5757347), 'Man': np.float32(99.42426)}"
144,3-9,Female,Black,31,Man,"{'Woman': np.float32(4.949503), 'Man': np.float32(95.05049)}"
145,10-19,Male,Black,32,Man,"{'Woman': np.float32(3.4202583), 'Man': np.float32(96.579735)}"
151,0-2,Male,Black,23,Woman,"{'Woman': np.float32(99.940315), 'Man': np.float32(0.059682857)}"
152,3-9,Female,Latino_Hispanic,31,Man,"{'Woman': np.float32(9.524261), 'Man': np.float32(90.47574)}"
154,10-19,Female,Black,32,Man,"{'Woman': np.float32(12.102603), 'Man': np.float32(87.8974)}"
163,0-2,Male,Middle Eastern,31,Man,"{'Woman': np.float32(16.39943), 'Man': np.float32(83.60057)}"
164,3-9,Male,Black,27,Man,"{'Woman': np.float32(0.061170686), 'Man': np.float32(99.93882)}"
165,10-19,Male,Black,38,Man,"{'Woman': np.float32(20.373146), 'Man': np.float32(79.62686)}"
166,10-19,Female,Black,32,Woman,"{'Woman': np.float32(98.93064), 'Man': np.float32(1.0693545)}"
172,more than 70,Male,White,42,Man,"{'Woman': np.float32(0.009656007), 'Man': np.float32(99.99034)}"
173,10-19,Male,White,32,Man,"{'Woman': np.float32(35.55713), 'Man': np.float32(64.44288)}"
174,10-19,Female,Middle Eastern,24,Man,"{'Woman': np.float32(33.572857), 'Man': np.float32(66.42714)}"
175,10-19,Female,White,28,Woman,"{'Woman': np.float32(99.88966), 'Man': np.float32(0.11033992)}"
176,10-19,Male,Latino_Hispanic,24,Man,"{'Woman': np.float32(1.6306739), 'Man': np.float32(98.36933)}"
179,3-9,Male,Southeast Asian,31,Man,"{'Woman': np.float32(8.578103), 'Man': np.float32(91.4219)}"
180,10-19,Female,Latino_Hispanic,29,Woman,"{'Woman': np.float32(52.94145), 'Man': np.float32(47.058556)}"
181,3-9,Male,Indian,27,Man,"{'Woman': np.float32(8.604099), 'Man': np.float32(91.3959)}"
183,3-9,Female,Black,23,Man,"{'Woman': np.float32(15.850888), 'Man': np.float32(84.14912)}"
184,10-19,Male,Indian,34,Man,"{'Woman': np.float32(18.39595), 'Man': np.float32(81.60406)}"
186,3-9,Male,Indian,29,Woman,"{'Woman': np.float32(92.02966), 'Man': np.float32(7.9703307)}"
187,3-9,Female,Black,26,Man,"{'Woman': np.float32(9.38777), 'Man': np.float32(90.61223)}"
188,3-9,Male,Indian,26,Man,"{'Woman': np.float32(1.3226511), 'Man': np.float32(98.67735)}"
191,3-9,Male,East Asian,29,Woman,"{'Woman': np.float32(85.47343), 'Man': np.float32(14.526566)}"
193,3-9,Male,Middle Eastern,36,Man,"{'Woman': np.float32(9.255251), 'Man': np.float32(90.74475)}"
195,3-9,Female,Middle Eastern,28,Woman,"{'Woman': np.float32(64.55217), 'Man': np.float32(35.44783)}"
197,10-19,Female,Black,32,Woman,"{'Woman': np.float32(99.72439), 'Man': np.float32(0.27560776)}"
199,10-19,Female,White,24,Woman,"{'Woman': np.float32(99.82037), 'Man': np.float32(0.17962217)}"
204,10-19,Female,East Asian,30,Woman,"{'Woman': np.float32(85.27747), 'Man': np.float32(14.722522)}"
214,3-9,Female,Latino_Hispanic,29,Woman,"{'Woman': np.float32(99.34007), 'Man': np.float32(0.6599387)}"
215,10-19,Female,East Asian,31,Man,"{'Woman': np.float32(11.193099), 'Man': np.float32(88.8069)}"
216,3-9,Female,Black,25,Man,"{'Woman': np.float32(5.029368), 'Man': np.float32(94.970634)}"
218,10-19,Female,East Asian,31,Man,"{'Woman': np.float32(22.773832), 'Man': np.float32(77.22617)}"
222,10-19,Female,White,36,Man,"{'Woman': np.float32(2.398521), 'Man': np.float32(97.60148)}"
223,3-9,Male,Black,37,Man,"{'Woman': np.float32(39.389244), 'Man': np.float32(60.610752)}"
224,0-2,Male,Southeast Asian,34,Woman,"{'Woman': np.float32(57.916935), 'Man': np.float32(42.083065)}"
225,3-9,Male,East Asian,29,Man,"{'Woman': np.float32(29.041222), 'Man': np.float32(70.95878)}"
228,3-9,Female,Latino_Hispanic,45,Man,"{'Woman': np.float32(1.6689751), 'Man': np.float32(98.33103)}"
230,3-9,Male,Black,45,Man,"{'Woman': np.float32(0.4810686), 'Man': np.float32(99.51893)}"
233,0-2,Male,East Asian,35,Man,"{'Woman': np.float32(39.614925), 'Man': np.float32(60.38508)}"
236,3-9,Male,East Asian,28,Man,"{'Woman': np.float32(12.287235), 'Man': np.float32(87.71277)}"
237,10-19,Female,East Asian,33,Woman,"{'Woman': np.float32(99.95177), 'Man': np.float32(0.048231594)}"
239,3-9,Male,Indian,19,Man,"{'Woman': np.float32(1.1094582), 'Man': np.float32(98.89054)}"
251,3-9,Female,Black,43,Woman,"{'Woman': np.float32(89.510506), 'Man': np.float32(10.4894905)}"
255,0-2,Male,Southeast Asian,33,Man,"{'Woman': np.float32(33.552868), 'Man': np.float32(66.447136)}"
257,0-2,Female,Indian,39,Man,"{'Woman': np.float32(16.208994), 'Man': np.float32(83.79101)}"
262,0-2,Male,East Asian,25,Woman,"{'Woman': np.float32(95.9754), 'Man': np.float32(4.024603)}"
266,3-9,Female,East Asian,22,Man,"{'Woman': np.float32(1.3150707), 'Man': np.float32(98.68493)}"
267,3-9,Male,Latino_Hispanic,29,Man,"{'Woman': np.float32(1.6174644), 'Man': np.float32(98.38254)}"
273,10-19,Male,Indian,24,Man,"{'Woman': np.float32(0.032850813), 'Man': np.float32(99.96715)}"
276,10-19,Female,Latino_Hispanic,32,Man,"{'Woman': np.float32(9.349985), 'Man': np.float32(90.65001)}"
277,3-9,Female,Indian,28,Man,"{'Woman': np.float32(13.243647), 'Man': np.float32(86.756355)}"
293,more than 70,Male,East Asian,41,Man,"{'Woman': np.float32(7.4691534), 'Man': np.float32(92.530846)}"
298,more than 70,Male,East Asian,34,Man,"{'Woman': np.float32(19.98279), 'Man': np.float32(80.01721)}"
303,10-19,Male,Southeast Asian,27,Man,"{'Woman': np.float32(1.7641712), 'Man': np.float32(98.235825)}"
311,3-9,Male,Latino_Hispanic,33,Woman,"{'Woman': np.float32(69.85168), 'Man': np.float32(30.148321)}"
313,3-9,Male,East Asian,20,Man,"{'Woman': np.float32(20.853224), 'Man': np.float32(79.146774)}"
315,3-9,Male,Black,28,Man,"{'Woman': np.float32(26.082329), 'Man': np.float32(73.91768)}"
317,10-19,Female,Indian,29,Woman,"{'Woman': np.float32(99.48914), 'Man': np.float32(0.5108577)}"
319,3-9,Male,Black,29,Woman,"{'Woman': np.float32(65.89965), 'Man': np.float32(34.10035)}"
323,3-9,Male,Southeast Asian,29,Man,"{'Woman': np.float32(3.9131482), 'Man': np.float32(96.08685)}"
324,3-9,Female,Latino_Hispanic,26,Woman,"{'Woman': np.float32(93.57574), 'Man': np.float32(6.424261)}"
328,10-19,Female,Southeast Asian,34,Woman,"{'Woman': np.float32(99.7486), 'Man': np.float32(0.2514031)}"
329,3-9,Female,Black,26,Man,"{'Woman': np.float32(3.0612378), 'Man': np.float32(96.93876)}"
330,3-9,Female,White,37,Woman,"{'Woman': np.float32(96.531555), 'Man': np.float32(3.4684432)}"
333,0-2,Female,White,31,Woman,"{'Woman': np.float32(91.88036), 'Man': np.float32(8.119637)}"
342,10-19,Female,Black,27,Man,"{'Woman': np.float32(34.553165), 'Man': np.float32(65.44684)}"
345,10-19,Male,East Asian,31,Man,"{'Woman': np.float32(0.49125943), 'Man': np.float32(99.50874)}"
347,3-9,Female,Latino_Hispanic,28,Man,"{'Woman': np.float32(17.50398), 'Man': np.float32(82.496025)}"
349,0-2,Male,East Asian,18,Man,"{'Woman': np.float32(0.79093415), 'Man': np.float32(99.20907)}"
350,3-9,Female,White,39,Man,"{'Woman': np.float32(9.722671), 'Man': np.float32(90.27733)}"
351,3-9,Female,Indian,27,Man,"{'Woman': np.float32(14.467384), 'Man': np.float32(85.532616)}"
353,3-9,Male,Black,27,Man,"{'Woman': np.float32(2.255175), 'Man': np.float32(97.74482)}"
359,3-9,Female,East Asian,23,Man,"{'Woman': np.float32(3.8879886), 'Man': np.float32(96.11201)}"
362,0-2,Female,Southeast Asian,38,Man,"{'Woman': np.float32(16.287361), 'Man': np.float32(83.71264)}"
366,10-19,Female,East Asian,37,Man,"{'Woman': np.float32(1.2794893), 'Man': np.float32(98.72051)}"
367,10-19,Female,Southeast Asian,40,Woman,"{'Woman': np.float32(73.07351), 'Man': np.float32(26.926495)}"
368,3-9,Female,Southeast Asian,23,Man,"{'Woman': np.float32(1.6370969), 'Man': np.float32(98.36291)}"
370,3-9,Male,Latino_Hispanic,25,Man,"{'Woman': np.float32(0.9172345), 'Man': np.float32(99.08277)}"
373,10-19,Female,Middle Eastern,22,Man,"{'Woman': np.float32(14.507257), 'Man': np.float32(85.492744)}"
374,3-9,Female,Indian,29,Man,"{'Woman': np.float32(0.78736746), 'Man': np.float32(99.21263)}"
381,10-19,Male,Black,33,Woman,"{'Woman': np.float32(69.28763), 'Man': np.float32(30.712372)}"
384,10-19,Female,Southeast Asian,34,Man,"{'Woman': np.float32(33.11392), 'Man': np.float32(66.886086)}"
387,10-19,Male,White,36,Woman,"{'Woman': np.float32(70.806175), 'Man': np.float32(29.19382)}"
389,0-2,Male,Middle Eastern,17,Man,"{'Woman': np.float32(16.870405), 'Man': np.float32(83.12959)}"
392,10-19,Male,Southeast Asian,29,Man,"{'Woman': np.float32(23.911776), 'Man': np.float32(76.08823)}"
395,3-9,Female,Indian,30,Man,"{'Woman': np.float32(0.89652056), 'Man': np.float32(99.10348)}"
396,3-9,Female,White,30,Man,"{'Woman': np.float32(3.5421073), 'Man': np.float32(96.45789)}"
398,3-9,Male,East Asian,31,Man,"{'Woman': np.float32(27.576313), 'Man': np.float32(72.42369)}"
399,0-2,Male,East Asian,27,Man,"{'Woman': np.float32(0.73409534), 'Man': np.float32(99.2659)}"
401,3-9,Female,White,39,Man,"{'Woman': np.float32(40.0929), 'Man': np.float32(59.907104)}"
403,3-9,Male,Black,28,Man,"{'Woman': np.float32(17.771967), 'Man': np.float32(82.228035)}"
405,10-19,Male,Indian,29,Man,"{'Woman': np.float32(7.125588), 'Man': np.float32(92.874405)}"
406,3-9,Male,Southeast Asian,21,Man,"{'Woman': np.float32(9.671362), 'Man': np.float32(90.328636)}"
412,10-19,Female,Indian,33,Man,"{'Woman': np.float32(33.65426), 'Man': np.float32(66.34574)}"
413,more than 70,Female,White,53,Woman,"{'Woman': np.float32(99.998985), 'Man': np.float32(0.0010122149)}"
416,10-19,Female,East Asian,31,Man,"{'Woman': np.float32(13.434707), 'Man': np.float32(86.56529)}"
417,10-19,Female,White,26,Woman,"{'Woman': np.float32(99.93063), 'Man': np.float32(0.06936779)}"
420,3-9,Female,Latino_Hispanic,33,Woman,"{'Woman': np.float32(99.20521), 'Man': np.float32(0.7947929)}"
421,10-19,Male,Latino_Hispanic,27,Man,"{'Woman': np.float32(0.862276), 'Man': np.float32(99.137726)}"
423,3-9,Female,Indian,39,Man,"{'Woman': np.float32(6.461754), 'Man': np.float32(93.538246)}"
424,3-9,Female,Latino_Hispanic,36,Woman,"{'Woman': np.float32(82.644104), 'Man': np.float32(17.35589)}"
427,3-9,Male,Black,30,Man,"{'Woman': np.float32(1.2840686), 'Man': np.float32(98.71593)}"
435,10-19,Female,White,25,Man,"{'Woman': np.float32(11.926389), 'Man': np.float32(88.07361)}"
447,10-19,Female,White,30,Man,"{'Woman': np.float32(39.789753), 'Man': np.float32(60.210247)}"
451,10-19,Female,Latino_Hispanic,26,Man,"{'Woman': np.float32(2.2733486), 'Man': np.float32(97.726654)}"
452,10-19,Female,Indian,29,Man,"{'Woman': np.float32(9.261586), 'Man': np.float32(90.73841)}"
455,0-2,Female,Black,22,Man,"{'Woman': np.float32(47.625507), 'Man': np.float32(52.374493)}"
460,10-19,Male,Southeast Asian,37,Man,"{'Woman': np.float32(3.743469), 'Man': np.float32(96.25652)}"
461,3-9,Female,Latino_Hispanic,29,Man,"{'Woman': np.float32(4.902662), 'Man': np.float32(95.09734)}"
470,10-19,Female,Latino_Hispanic,29,Man,"{'Woman': np.float32(2.6899033), 'Man': np.float32(97.3101)}"
471,10-19,Female,Black,31,Man,"{'Woman': np.float32(14.721589), 'Man': np.float32(85.27841)}"
475,3-9,Female,Black,27,Man,"{'Woman': np.float32(11.508125), 'Man': np.float32(88.49187)}"
476,3-9,Male,White,28,Man,"{'Woman': np.float32(40.76345), 'Man': np.float32(59.23655)}"
477,10-19,Male,East Asian,23,Man,"{'Woman': np.float32(5.815917), 'Man': np.float32(94.18408)}"
478,3-9,Female,Southeast Asian,35,Woman,"{'Woman': np.float32(56.710934), 'Man': np.float32(43.28906)}"
482,more than 70,Female,Black,33,Man,"{'Woman': np.float32(4.1681404), 'Man': np.float32(95.831856)}"
484,0-2,Male,Indian,17,Man,"{'Woman': np.float32(0.8132774), 'Man': np.float32(99.18672)}"
488,3-9,Male,Black,25,Man,"{'Woman': np.float32(2.4049268), 'Man': np.float32(97.59507)}"
489,3-9,Male,East Asian,31,Man,"{'Woman': np.float32(3.1928892), 'Man': np.float32(96.80711)}"
490,10-19,Female,Black,27,Man,"{'Woman': np.float32(5.407767), 'Man': np.float32(94.59224)}"
494,10-19,Male,Southeast Asian,34,Man,"{'Woman': np.float32(1.3329701), 'Man': np.float32(98.66703)}"
496,10-19,Female,Middle Eastern,32,Woman,"{'Woman': np.float32(99.997734), 'Man': np.float32(0.002265141)}"
499,3-9,Male,Black,32,Man,"{'Woman': np.float32(0.49990985), 'Man': np.float32(99.50009)}"
500,0-2,Male,White,26,Man,"{'Woman': np.float32(14.042023), 'Man': np.float32(85.95798)}"
506,3-9,Female,Latino_Hispanic,21,Woman,"{'Woman': np.float32(99.31942), 'Man': np.float32(0.6805697)}"
507,3-9,Male,Black,23,Man,"{'Woman': np.float32(0.152069), 'Man': np.float32(99.84793)}"
512,0-2,Male,East Asian,23,Man,"{'Woman': np.float32(0.84977925), 'Man': np.float32(99.150215)}"
513,3-9,Male,Black,29,Man,"{'Woman': np.float32(13.222194), 'Man': np.float32(86.7778)}"
520,3-9,Male,Latino_Hispanic,16,Man,"{'Woman': np.float32(0.63082075), 'Man': np.float32(99.36918)}"
523,3-9,Male,East Asian,23,Man,"{'Woman': np.float32(4.13428), 'Man': np.float32(95.86572)}"
524,3-9,Male,East Asian,31,Man,"{'Woman': np.float32(1.5144179), 'Man': np.float32(98.48558)}"
526,3-9,Male,Black,36,Man,"{'Woman': np.float32(10.457769), 'Man': np.float32(89.54223)}"
533,3-9,Male,East Asian,29,Woman,"{'Woman': np.float32(81.877174), 'Man': np.float32(18.122826)}"
543,0-2,Male,Middle Eastern,16,Woman,"{'Woman': np.float32(81.56274), 'Man': np.float32(18.43726)}"
546,3-9,Male,Middle Eastern,18,Man,"{'Woman': np.float32(0.42404497), 'Man': np.float32(99.57596)}"
548,3-9,Female,Indian,25,Man,"{'Woman': np.float32(3.6911256), 'Man': np.float32(96.308876)}"
551,10-19,Male,Middle Eastern,37,Man,"{'Woman': np.float32(14.805013), 'Man': np.float32(85.19499)}"
560,3-9,Male,Black,35,Man,"{'Woman': np.float32(4.9567842), 'Man': np.float32(95.04321)}"
563,10-19,Female,Black,29,Man,"{'Woman': np.float32(0.6252282), 'Man': np.float32(99.37477)}"
566,10-19,Male,East Asian,33,Man,"{'Woman': np.float32(3.3523612), 'Man': np.float32(96.64764)}"
568,10-19,Male,Indian,25,Woman,"{'Woman': np.float32(50.042404), 'Man': np.float32(49.9576)}"
571,3-9,Female,East Asian,28,Woman,"{'Woman': np.float32(56.851738), 'Man': np.float32(43.148262)}"
572,10-19,Male,Latino_Hispanic,35,Woman,"{'Woman': np.float32(74.20187), 'Man': np.float32(25.798124)}"
575,10-19,Male,Southeast Asian,27,Man,"{'Woman': np.float32(15.7183485), 'Man': np.float32(84.28165)}"
582,10-19,Male,Indian,34,Man,"{'Woman': np.float32(3.558908), 'Man': np.float32(96.44109)}"
586,3-9,Male,Latino_Hispanic,25,Man,"{'Woman': np.float32(43.130238), 'Man': np.float32(56.86976)}"
594,more than 70,Male,Black,29,Woman,"{'Woman': np.float32(72.772804), 'Man': np.float32(27.227205)}"
596,0-2,Female,East Asian,24,Man,"{'Woman': np.float32(46.470222), 'Man': np.float32(53.529774)}"
602,10-19,Male,Middle Eastern,34,Man,"{'Woman': np.float32(45.15313), 'Man': np.float32(54.84687)}"
604,3-9,Male,White,35,Man,"{'Woman': np.float32(28.376114), 'Man': np.float32(71.623886)}"
605,10-19,Male,Black,22,Man,"{'Woman': np.float32(1.7223064), 'Man': np.float32(98.27769)}"
609,3-9,Female,Southeast Asian,21,Man,"{'Woman': np.float32(5.623208), 'Man': np.float32(94.37679)}"
613,3-9,Female,Black,40,Man,"{'Woman': np.float32(13.954781), 'Man': np.float32(86.04523)}"
617,more than 70,Male,East Asian,46,Man,"{'Woman': np.float32(0.028250128), 'Man': np.float32(99.971756)}"
632,3-9,Male,Black,30,Man,"{'Woman': np.float32(0.33129263), 'Man': np.float32(99.66871)}"
633,0-2,Female,White,12,Woman,"{'Woman': np.float32(74.21318), 'Man': np.float32(25.78682)}"
638,10-19,Female,Middle Eastern,27,Woman,"{'Woman': np.float32(88.624214), 'Man': np.float32(11.375782)}"
641,3-9,Male,Southeast Asian,26,Man,"{'Woman': np.float32(28.111994), 'Man': np.float32(71.88801)}"
642,3-9,Female,Black,32,Man,"{'Woman': np.float32(11.524083), 'Man': np.float32(88.47592)}"
643,10-19,Male,White,27,Man,"{'Woman': np.float32(4.0027323), 'Man': np.float32(95.99727)}"
659,10-19,Female,White,23,Man,"{'Woman': np.float32(47.839485), 'Man': np.float32(52.160515)}"
661,3-9,Female,White,37,Man,"{'Woman': np.float32(8.203658), 'Man': np.float32(91.79634)}"
663,10-19,Female,Black,26,Man,"{'Woman': np.float32(0.035104867), 'Man': np.float32(99.96489)}"
665,10-19,Male,Black,32,Man,"{'Woman': np.float32(5.6029005), 'Man': np.float32(94.3971)}"
666,more than 70,Male,Middle Eastern,30,Man,"{'Woman': np.float32(6.9554114), 'Man': np.float32(93.04459)}"
670,3-9,Female,Southeast Asian,33,Man,"{'Woman': np.float32(13.861151), 'Man': np.float32(86.13885)}"
674,3-9,Male,Latino_Hispanic,28,Man,"{'Woman': np.float32(0.60407734), 'Man': np.float32(99.39592)}"
676,10-19,Female,East Asian,26,Woman,"{'Woman': np.float32(99.85059), 'Man': np.float32(0.1494036)}"
677,10-19,Female,Black,28,Man,"{'Woman': np.float32(0.094992146), 'Man': np.float32(99.90501)}"
678,10-19,Male,Middle Eastern,24,Man,"{'Woman': np.float32(14.601146), 'Man': np.float32(85.39885)}"
680,10-19,Male,Indian,35,Man,"{'Woman': np.float32(32.35428), 'Man': np.float32(67.64572)}"
684,10-19,Male,Black,36,Man,"{'Woman': np.float32(31.110394), 'Man': np.float32(68.88961)}"
697,3-9,Female,Black,29,Man,"{'Woman': np.float32(0.3173286), 'Man': np.float32(99.68267)}"
704,3-9,Female,Middle Eastern,28,Woman,"{'Woman': np.float32(98.18019), 'Man': np.float32(1.819811)}"
720,10-19,Male,East Asian,31,Man,"{'Woman': np.float32(2.0552535), 'Man': np.float32(97.94475)}"
724,more than 70,Male,Latino_Hispanic,40,Man,"{'Woman': np.float32(2.885062), 'Man': np.float32(97.11494)}"
725,10-19,Female,East Asian,35,Man,"{'Woman': np.float32(7.562524), 'Man': np.float32(92.43747)}"
736,3-9,Male,White,35,Woman,"{'Woman': np.float32(67.50574), 'Man': np.float32(32.49425)}"
738,10-19,Female,White,32,Man,"{'Woman': np.float32(12.255177), 'Man': np.float32(87.74483)}"
742,10-19,Male,White,32,Woman,"{'Woman': np.float32(94.81141), 'Man': np.float32(5.1885896)}"
749,10-19,Female,White,36,Man,"{'Woman': np.float32(13.180436), 'Man': np.float32(86.819565)}"
755,10-19,Male,Black,27,Man,"{'Woman': np.float32(4.7751884), 'Man': np.float32(95.224815)}"
757,3-9,Male,Middle Eastern,32,Man,"{'Woman': np.float32(20.297949), 'Man': np.float32(79.70205)}"
764,3-9,Male,East Asian,34,Man,"{'Woman': np.float32(0.08807291), 'Man': np.float32(99.91192)}"
768,3-9,Female,Indian,32,Man,"{'Woman': np.float32(0.14636737), 'Man': np.float32(99.85364)}"
775,3-9,Male,White,32,Woman,"{'Woman': np.float32(53.695793), 'Man': np.float32(46.304207)}"
777,10-19,Female,Black,38,Man,"{'Woman': np.float32(2.48896), 'Man': np.float32(97.51105)}"
782,3-9,Female,East Asian,35,Man,"{'Woman': np.float32(27.550459), 'Man': np.float32(72.44954)}"
784,10-19,Female,East Asian,33,Man,"{'Woman': np.float32(7.0135684), 'Man': np.float32(92.98643)}"
787,10-19,Male,White,28,Man,"{'Woman': np.float32(0.22035167), 'Man': np.float32(99.779655)}"
794,0-2,Male,White,19,Woman,"{'Woman': np.float32(95.90014), 'Man': np.float32(4.099859)}"
795,3-9,Male,Black,37,Man,"{'Woman': np.float32(1.2944753), 'Man': np.float32(98.70552)}"
797,3-9,Female,Middle Eastern,31,Man,"{'Woman': np.float32(17.37041), 'Man': np.float32(82.62959)}"
799,3-9,Female,White,26,Man,"{'Woman': np.float32(5.853226), 'Man': np.float32(94.14677)}"
800,10-19,Female,Latino_Hispanic,27,Man,"{'Woman': np.float32(1.4944208), 'Man': np.float32(98.50558)}"
802,10-19,Female,Southeast Asian,29,Man,"{'Woman': np.float32(15.538904), 'Man': np.float32(84.4611)}"
808,3-9,Female,East Asian,27,Man,"{'Woman': np.float32(33.539425), 'Man': np.float32(66.46058)}"
816,3-9,Male,Black,30,Woman,"{'Woman': np.float32(66.07449), 'Man': np.float32(33.925507)}"
824,10-19,Female,Indian,32,Woman,"{'Woman': np.float32(61.605366), 'Man': np.float32(38.394638)}"
825,3-9,Female,Black,26,Man,"{'Woman': np.float32(8.654814), 'Man': np.float32(91.34518)}"
826,3-9,Female,Indian,32,Woman,"{'Woman': np.float32(72.27655), 'Man': np.float32(27.723452)}"
829,3-9,Male,Black,32,Man,"{'Woman': np.float32(6.184353), 'Man': np.float32(93.81565)}"
830,10-19,Male,White,30,Man,"{'Woman': np.float32(0.125144), 'Man': np.float32(99.874855)}"
833,3-9,Male,East Asian,34,Man,"{'Woman': np.float32(0.829993), 'Man': np.float32(99.17)}"
834,3-9,Male,White,26,Man,"{'Woman': np.float32(19.935898), 'Man': np.float32(80.0641)}"
836,0-2,Male,East Asian,14,Man,"{'Woman': np.float32(7.968279), 'Man': np.float32(92.03172)}"
842,3-9,Male,East Asian,29,Man,"{'Woman': np.float32(24.803793), 'Man': np.float32(75.196205)}"
850,3-9,Female,East Asian,21,Woman,"{'Woman': np.float32(80.522156), 'Man': np.float32(19.477842)}"
855,3-9,Female,White,24,Woman,"{'Woman': np.float32(70.30481), 'Man': np.float32(29.695183)}"
856,3-9,Male,East Asian,27,Man,"{'Woman': np.float32(36.176502), 'Man': np.float32(63.823498)}"
857,10-19,Male,Black,24,Man,"{'Woman': np.float32(0.007943806), 'Man': np.float32(99.99206)}"
861,3-9,Male,Latino_Hispanic,23,Man,"{'Woman': np.float32(8.565335), 'Man': np.float32(91.434654)}"
869,10-19,Female,Black,37,Man,"{'Woman': np.float32(9.033466), 'Man': np.float32(90.96654)}"
874,3-9,Male,White,32,Man,"{'Woman': np.float32(20.185078), 'Man': np.float32(79.814926)}"
881,3-9,Female,White,30,Woman,"{'Woman': np.float32(99.80729), 'Man': np.float32(0.19270812)}"
882,3-9,Male,Indian,28,Man,"{'Woman': np.float32(23.266687), 'Man': np.float32(76.733315)}"
885,3-9,Female,Latino_Hispanic,35,Woman,"{'Woman': np.float32(99.487564), 'Man': np.float32(0.51244533)}"
888,3-9,Male,Black,30,Man,"{'Woman': np.float32(0.37862885), 'Man': np.float32(99.621376)}"
